identifier,short_title,title,url,project_type,date_started,date_last_update,regions,countries,continents,time_coverage_start,time_coverage_end,sources,venues,programming,mgmt_ownership,presentation,no_of_seats,geospatial,languages,demographic,searchable_database,about
026,Itinerant Cinema Shows,"Prominent Itinerant Cinema Shows, 1896-1908 (Paul S. Moore)",https://psmoore.ca/prominent-itinerant-cinema/,Placeholder,NA,NA,,CA,North America,NA,NA,No,Partially,No,Partially,Minimal,No,Partially,English,No,No,Paul S. Moore's professional website with examples of his research in exhibition history
027,Post-War Europe,Mapping Film Programming across Post-War Europe (1952),https://www.dansdatajournal.nl/rdp/showcases1/oort2020b.html,Aggregator,1970s,2020,"Bari, Antwerp, Ghent, Gothenberg, Leicester, Rotterdam","IT, BE, SE, GB, NL",Europe,1952,1952,Partially,Yes,Yes,Yes,Global Framing,Yes,Yes,English,No,No,
028,Occupied Belgium,Cinema in Occupied Belgium,https://www.cinema-in-occupied-belgium.be/,Single,NA,NA,,BE,Europe,1940,1944,Yes,Yes,Yes,Yes,Minimal,Yes,Yes,"Dutch, English, French",No,Yes,"This website provides an overview of film programming and the organisation of the cinema sector during the Second World War in Belgium. Here you will find data on films, film screenings, cinemas, owners, exhibitors, producers and distributors. The website contains more than 1530 films, 960 cinemas, and 33,000 film screenings."
029,Lost Cinemas of Leeds,Hiding in Plain Sight: Discovering the Lost Cinemas of Leeds,https://lostcinemas.co.uk,Single,NA,NA,Leeds,GB,Europe,1876,2021,Partially,Yes,No,Partially,Short Narratives,Yes,Yes,English,No,Yes,An interactive website of historical movie theaters in Leeds.
030,Film Culture in Transition,Film Culture in Transition [1972-1986],https://www.ucm.es/filmcultureintransition-madrid,Single,NA,NA,Madrid,ES,Europe,1972,1986,No,Yes,No,No,Minimal,Yes,Yes,"Spanish, English",No,Yes,"Part of the research project Film Culture in Transition at Complutense University in Madrid, that aims to reevaluate the cultural and social development in Spain during its Transición focusing on the film culture from the late 1960s to the mid-1980s."
031,Cinema Theater Assoc,Cinema Theatre Association: Listed Cinemas,https://cinema-theatre.org.uk/uk-cinemas/listed-cinemas/england/,Single,NA,NA,,GB,Europe,NA,NA,Undetermined,Yes,No,No,Minimal,No,No,English,No,No,"A static list of cinemas in Great Britain, including historical venues, names of architects, and current status."
032,Scottish Cinemas,Scottish Cinemas and Theatres,http://www.scottishcinemas.org.uk/index.html,Single,2001,2020,Scotland,GB,Europe,,,Yes,Yes,No,Yes,Short Narratives,Yes,Partially,English,No,Yes,"A site dedicated to recording and archiving our historic cinema architectural heritage - an often overlooked part of our social history. We try to provide a photographic and historical record of all Scottish cinema buildings, including those now unrecognisable or otherwise highly altered over the years."
033,Cinema Assoc of Australia,Cinema and Theatre Historical Society Association of Australia,http://www.caths.org.au/,Single,2017,2019,,"AU, NZ, PG",Oceania,NA,NA,Yes,Yes,No,Yes,Short Narratives,Yes,No,English,No,Yes,"A searchable database of all known past & present cinema and theatre venues in Australia, New Zealand, and Papua New Guinea."
034,Desmet,Mapping Desmet,http://mappingdesmet.humanities.uva.nl/#/,Placeholder,2014,2015,,NL,Europe,1910,1912,Undetermined,Undetermined,Undetermined,Yes,Global Framing,Undetermined,Yes,English,No,No,"The project aims to provide a transparant tool to visualise the programming and distribution of the films of Jean Desmet, a film distributor and cinema owner in the Netherlands (1875-1956). The map doesn't currently work."
035,UK Cinemas,UK Cinemas,http://www.ukcinemas.org.uk/,Single,1995,2020,,GB,Europe,NA,2020,Partially,Yes,No,No,Minimal,Yes,No,English,No,No,"UK Cinemas attempts to list all operating cinemas in the United Kingdom. For each one, in addition to the name, address and a web link for the cinema or its circuit, the number of auditoria and seats (where known) are also shown."
036,Kinomatics,Kinomatics,https://kinomatics.com/,Placeholder,NA,2021,,Worldwide,Multiple Continents,NA,NA,Partially,Partially,Partially,Partially,Minimal,No,No,English,Yes,No,"The Kinomatics Project collects, explores, analyses and represents data about the creative industries. Our research is collaborative and interdisciplinary. Our current focus is on the spatial and temporal dimensions of international film flow and the location of Australian live music gigs. Kinomatics uses ‘big data’ to study contemporary global cultural diffusion."
037,Pantalla in Mexico City,Cultura de la Pantalla in Mexico City (1895-2012),http://cinemacitycultures.org/mexico-city/,Single,NA,NA,Mexico City,MX,North America,1895,2012,No,Yes,No,No,Minimal,No,Yes,"Spanish, English",No,Yes,"This project seeks to develop an integrated history of cinema culture in Mexico City, more precisely on film exhibition, programming and reception. It includes an analysis of film programming; a cartography of cinemas; and the elaboration of life histories around the social experience of going to the movies (1930-1992) in Mexico City"
038,Cork Movie Memories,Cork Movie Memories,http://corkmoviememories.com/,Single,2017,2022,Cork,IE,Europe,1940,2021,Yes,Yes,Yes,Yes,Short Narratives,No,No,English,No,No,"Project that records oral histories of cinema-going memories of those living in small towns, villages and rural areas of Cork County from the 1940s to the present, UK"
039,Rotterdams Publiek,Rotterdams Publiek,https://rotterdamspubliek.nl,Single,NA,NA,Rotterdam,NL,Europe,1896,2021,Partially,Yes,Yes,Partially,Short Narratives,Yes,Yes,Dutch,No,Yes,Another project based on the Cinema Context data--this time I think based on the RDF version?
040,Colonial Hong Kong,A History of Film Exhibition and Reception in Colonial Hong Kong,https://digital.library.ln.edu.hk/en/projects/flim/intro,Single,2021,NA,,HK,Asia,1897,1925,Yes,Yes,Yes,No,Minimal,No,Yes,"English, Chinese",No,Yes,"This open-access database developed under the project ‘Screen Practices in Colonial Hong Kong: A History of Film Exhibition and Reception from 1897 to 1925.’ It is presented to serve as an essential resource for research on Hong Kong film history from the initial screenings of motion pictures in the late 1890s to the mid-1920s when the local film industry took shape. It provides online access to more than 29,000 items of news materials, covering movie theatres, distribution companies and circuits, advertisements, and film reviews."
